key,award_score,question_content,question_option,reading_time,right_answers
1,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,《兰亭序》具有极高的艺术价值，它的作者是？,1^达芬奇$2^王羲之$3^丰子恺,20,2
2,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,中国第一个奴隶制度的王朝 ？,1^夏$2^商$3^周,20,1
3,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,《三国演义》中的“凤雏”是？,1^诸葛亮$2^赵云$3^庞统,20,3
4,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“中国戏曲中的人物角色可分为生、旦、净、末、丑，以下哪一个是女角色的统称？,1^生$2^旦$3^丑,20,2
5,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,十面埋伏 所用的乐器是？,1^琵琶$2^古筝$3^钢琴,20,1
6,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,阿司匹林最初提取于？,1^杨柳树皮$2^唾液$3^动物粪便,20,1
7,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,普洱茶的产地在？,1^黑龙江$2^安徽$3^云南,20,3
8,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,以下不属于中草药的是？,1^当归$2^砖沫$3^鹿茸,20,2
9,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,下著作中，出自孙思邈之手的是？,1^本草纲目$2^千金方$3^水利枢纽,20,2
10,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,清代官服上绣有方形图案，成为“补子”，其中一品武官的补子图案是？,1^麒麟$2^仙鹤$3^朱雀,20,1
11,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,以下不是中国四大发明的是？,1^火药$2^印染$3^指南针,20,2
12,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,三国演义里“木牛流马”是谁制造的？？,1^赵云$2^张飞$3^诸葛亮,20,3
13,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,洛阳白马寺创建于那个时期？,1^东汉$2^北宋$3^元朝,20,1
14,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,皮影戏最早诞生在两千年前的西汉，“发祥于”中国哪个地区？,1^山西$2^浙江$3^陕西,20,3
15,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,太师椅最早的朝代？,1^唐朝$2^宋朝$3^清朝,20,2
16,31$30$29$28$27$26$25$24$23$22$21$20$19$18$17$16$15$14$13$12,“包拯”脸上的印记是什么形状？,1^太阳$2^星星$3^月亮,20,3
